,Population,Region ID,Region Name
1830,229,25430, Mount Alexander
1837,4131,27260, Wyndham
1849,130,23940, Loddon
1850,1556,24210, Manningham
1851,1084,24650, Melton
1861,19,20740, Bass Coast
1862,826,20910, Bayside (Vic.)
1869,1458,22490, Golden Plains
1872,84,22980, Hindmarsh
1873,268,23190, Horsham
1875,1192,23190, Horsham
1877,9314,23670, Knox
1878,122,23940, Loddon
1880,1553,24330, Maribyrnong
1886,532,26430, Strathbogie
1887,309,26700, Wangaratta
1888,456,26730, Warrnambool
1892,743,21830, Corangamite
1893,86,22250, Gannawarra
1894,7866,22620, Greater Bendigo
1900,637,24850, Mitchell
1901,1315,25060, Moonee Valley
1902,2759,25250, Moreland
1904,157,26260, Southern Grampians
1906,643,26430, Strathbogie
1908,4832,26980, Whitehorse
1909,570,27170, Wodonga
1911,6,29399, Unincorporated Vic
1913,115,20110, Alpine
1915,614,22110, East Gippsland
1916,699,22110, East Gippsland
1918,3283,22750, Greater Geelong
1922,1015,24410, Maroondah
1924,300,24900, Moira
1928,142,25620, Murrindindi
1931,1579,25900, Port Phillip
1934,230,26890, West Wimmera
1936,2131,27450, Yarra Ranges
1939,4248,20910, Bayside (Vic.)
1946,281,23350, Indigo
1950,1402,24410, Maroondah
1954,146,25620, Murrindindi
1959,241,27630, Yarriambiack
1960,1480,20570, Ballarat
1962,1020,21830, Corangamite
1967,999,24330, Maribyrnong
1969,3120,24650, Melton
1976,187,20260, Ararat
1978,551,21370, Campaspe
1981,440,22110, East Gippsland
1982,1948,22170, Frankston
1985,1671,22670, Greater Dandenong
1992,1360,24410, Maroondah
1997,16,26080, Queenscliffe
1998,28,26080, Queenscliffe
1999,158,26260, Southern Grampians
2002,310,26490, Surf Coast
2005,129,20110, Alpine
2006,6608,20570, Ballarat
2008,945,21010, Benalla
2009,389,21370, Campaspe
2012,2074,22170, Frankston
2014,300,22910, Hepburn
2015,1160,23110, Hobsons Bay
2018,2218,23430, Kingston (Vic.)
2020,63,23940, Loddon
2021,1533,24410, Maroondah
2025,85,25990, Pyrenees
2030,13,26810, Wellington
2036,306,22490, Golden Plains
2040,1640,24970, Monash
2045,675,26350, Stonnington
2049,11695,26980, Whitehorse
2050,1735,27450, Yarra Ranges
2054,7416,20910, Bayside (Vic.)
2055,1234,21110, Boroondara
2057,268,21270, Buloke
2058,1659,21450, Cardinia
